Trial,Mode,ZScore,BetSide,BetSize,Outcome,Won,PnL,Bankroll
13078,DALEM,0.730,UN,3.20,OV,False,-3.20,97.40
13079,DALEM,0.730,UN,3.40,OV,False,-3.40,94.00
13080,DALEM,1.095,UN,3.60,OV,False,-3.60,90.40
13081,DALEM,1.461,UN,3.80,UN,True,3.80,94.20
13082,DALEM,1.461,UN,3.60,UN,True,3.60,97.80
13083,DALEM,1.461,UN,3.40,OV,False,-3.40,94.40
13084,DALEM,1.461,UN,3.60,OV,False,-3.60,90.80
13085,DALEM,1.461,UN,3.80,OV,False,-3.80,87.00
13086,DALEM,1.461,UN,4.00,UN,True,4.00,91.00
13087,DALEM,1.095,UN,3.80,OV,False,-3.80,87.20
13088,DALEM,1.095,UN,4.00,UN,True,4.00,91.20
13089,DALEM,0.730,UN,3.80,UN,True,3.80,95.00
13090,DALEM,0.730,UN,3.60,OV,False,-3.60,91.40
13091,DALEM,0.730,UN,3.80,UN,True,3.80,95.20
13092,DALEM,0.365,UN,3.60,UN,True,3.60,98.80
13093,DALEM,0.000,UN,3.40,OV,False,-3.40,95.40
13094,DALEM,0.000,UN,3.60,UN,True,3.60,99.00
13095,DALEM,0.000,UN,3.40,UN,True,3.40,102.40
13096,DALEM,-0.365,UN,3.20,UN,True,3.20,105.60
13097,DALEM,-0.365,UN,3.00,UN,True,3.00,108.60
13098,DALEM,-0.365,UN,2.80,OV,False,-2.80,105.80
13099,DALEM,-0.365,UN,3.00,OV,False,-3.00,102.80
13100,DALEM,0.000,UN,3.20,UN,True,3.20,106.00
13101,DALEM,0.000,UN,3.00,UN,True,3.00,109.00
13102,DALEM,-0.365,UN,2.80,UN,True,2.80,111.80
13103,DALEM,-0.365,UN,2.60,UN,True,2.60,114.40
13104,DALEM,-0.730,UN,2.40,UN,True,2.40,116.80
13105,DALEM,-1.095,UN,2.20,UN,True,2.20,119.00
13106,DALEM,-1.461,UN,2.00,OV,False,-2.00,117.00
13107,DALEM,-1.095,UN,2.20,OV,False,-2.20,114.80
13108,DALEM,-0.730,UN,2.40,OV,False,-2.40,112.40
